,SITE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,PERIOD,PERIOD_IN_DAYS,AVG_KWH_PER_DAY,TOTAL_INVOICE
0,0001BB,01/01/2018,31/01/2018,2447.0,"316,46",30 days,30,81.56666666666666,35
1,0001BB,01/02/2018,28/02/2018,2211.0,"286,82",27 days,27,81.88888888888889,35
2,0001BB,01/03/2018,31/03/2018,2450.0,"317,32",30 days,30,81.66666666666667,35
3,0001BB,01/04/2018,30/04/2018,2431.0,"315,00",29 days,29,83.82758620689656,35
4,0001BB,01/05/2018,31/05/2018,2574.0,"333,37",30 days,30,85.8,35
5,0001BB,01/06/2018,30/06/2018,2830.0,"365,27",29 days,29,97.58620689655173,35
6,0001BB,01/07/2018,31/07/2018,3028.0,"390,39",30 days,30,100.93333333333334,35
7,0001BB,01/08/2018,31/08/2018,3053.0,"393,99",30 days,30,101.76666666666667,35
8,0001BB,01/09/2018,30/09/2018,2915.0,"378,35",29 days,29,100.51724137931035,35
9,0001BB,01/10/2018,31/10/2018,2986.0,"387,05",30 days,30,99.53333333333333,35
10,0001BB,01/11/2018,30/11/2018,2871.0,"372,47",29 days,29,99.0,35
11,0001BB,01/12/2018,31/12/2018,3086.0,"399,30",30 days,30,102.86666666666666,35
12,0001BB,01/01/2019,31/01/2019,3094.0,"381,40",30 days,30,103.13333333333334,35
13,0001BB,01/02/2019,28/02/2019,2767.0,"345,87",27 days,27,102.48148148148148,35
14,0001BB,01/03/2019,31/03/2019,3059.0,"378,18",30 days,30,101.96666666666667,35
15,0001BB,01/04/2019,30/04/2019,2761.0,"340,84",29 days,29,95.20689655172414,35
16,0001BB,01/05/2019,31/05/2019,2844.0,"349,26",30 days,30,94.8,35
17,0001BB,01/06/2019,30/06/2019,3009.0,"369,19",29 days,29,103.75862068965517,35
18,0001BB,01/07/2019,31/07/2019,3016.0,"371,20",30 days,30,100.53333333333333,35
19,0001BB,01/08/2019,31/08/2019,3089.0,"380,42",30 days,30,102.96666666666667,35
20,0001BB,01/09/2019,30/09/2019,2914.0,"361,36",29 days,29,100.48275862068965,35
21,0001BB,01/10/2019,31/10/2019,2963.0,"366,70",30 days,30,98.76666666666667,35
22,0001BB,01/11/2019,30/11/2019,2797.0,"345,89",29 days,29,96.44827586206897,35
23,0001BB,01/12/2019,31/12/2019,2859.0,"353,08",30 days,30,95.3,35
24,0001BB,01/01/2020,31/01/2020,2863.0,"414,93",30 days,30,95.43333333333334,35
25,0001BB,01/02/2020,29/02/2020,2663.0,"387,22",28 days,28,95.10714285714286,35
26,0001BB,01/03/2020,31/03/2020,2759.0,"403,25",30 days,30,91.96666666666667,35
27,0001BB,01/04/2020,30/04/2020,2680.0,"390,79",29 days,29,92.41379310344827,35
28,0001BB,01/05/2020,31/05/2020,2797.0,"407,48",30 days,30,93.23333333333333,35
29,0001BB,01/06/2020,30/06/2020,2796.0,"407,77",29 days,29,96.41379310344827,35
30,0001BB,01/07/2020,31/07/2020,2952.0,"429,09",30 days,30,98.4,35
31,0001BB,01/08/2020,31/08/2020,3014.0,"435,98",30 days,30,100.46666666666667,35
32,0001BB,01/09/2020,30/09/2020,2857.0,"411,97",29 days,29,98.51724137931035,35
33,0001BB,01/10/2020,31/10/2020,2905.0,"413,41",30 days,30,96.83333333333333,35
34,0001BB,01/11/2020,30/11/2020,2755.0,"383,02",29 days,29,95.0,35
35,0001BR,01/01/2018,31/01/2018,2438.0,"266,43",30 days,30,81.26666666666667,35
36,0001BR,01/02/2018,28/02/2018,2211.0,"242,33",27 days,27,81.88888888888889,35
37,0001BR,01/03/2018,31/03/2018,2453.0,"267,95",30 days,30,81.76666666666667,35
38,0001BR,01/04/2018,30/04/2018,2414.0,"263,78",29 days,29,83.24137931034483,35
39,0001BR,01/05/2018,31/05/2018,2517.0,"274,62",30 days,30,83.9,35
40,0001BR,01/06/2018,30/06/2018,2461.0,"268,63",29 days,29,84.86206896551724,35
41,0001BR,01/07/2018,31/07/2018,2560.0,"279,26",30 days,30,85.33333333333333,35
42,0001BR,01/08/2018,31/08/2018,2597.0,"283,07",30 days,30,86.56666666666666,35
43,0001BR,01/09/2018,30/09/2018,2436.0,"267,99",29 days,29,84.0,35
44,0001BR,01/10/2018,31/10/2018,2497.0,"274,50",30 days,30,83.23333333333333,35
45,0001BR,01/11/2018,30/11/2018,2397.0,"263,82",29 days,29,82.65517241379311,35
46,0001BR,01/12/2018,31/12/2018,2452.0,"269,69",30 days,30,81.73333333333333,35
47,0001BR,01/01/2019,31/01/2019,2460.0,"264,03",30 days,30,82.0,35
48,0001BR,01/02/2019,28/02/2019,2229.0,"239,96",27 days,27,82.55555555555556,35
49,0001BR,01/03/2019,31/03/2019,2475.0,"265,56",30 days,30,82.5,35
50,0001BR,01/04/2019,30/04/2019,2410.0,"258,76",29 days,29,83.10344827586206,35
51,0001BR,01/05/2019,31/05/2019,2508.0,"268,92",30 days,30,83.6,35
52,0001BR,01/06/2019,30/06/2019,2529.0,"270,94",29 days,29,87.20689655172414,35
53,0001BR,01/07/2019,31/07/2019,2593.0,"277,63",30 days,30,86.43333333333334,35
54,0001BR,01/08/2019,31/08/2019,2603.0,"278,60",30 days,30,86.76666666666667,35
55,0001BR,01/09/2019,30/09/2019,2595.0,"277,20",29 days,29,89.48275862068965,35
56,0001BR,01/10/2019,31/10/2019,2708.0,"288,79",30 days,30,90.26666666666667,35
57,0001BR,01/11/2019,30/11/2019,2595.0,"277,07",29 days,29,89.48275862068965,35
58,0001BR,01/12/2019,31/12/2019,2648.0,"282,57",30 days,30,88.26666666666667,35
59,0001BR,01/01/2020,31/01/2020,2600.0,"330,81",30 days,30,86.66666666666667,35
60,0001BR,01/02/2020,29/02/2020,2445.0,"311,57",28 days,28,87.32142857142857,35
61,0001BR,01/03/2020,31/03/2020,2609.0,"330,32",30 days,30,86.96666666666667,35
62,0001BR,01/04/2020,30/04/2020,2629.0,"332,70",29 days,29,90.65517241379311,35
63,0001BR,01/05/2020,31/05/2020,2735.0,"345,77",30 days,30,91.16666666666667,35
64,0001BR,01/06/2020,30/06/2020,2687.0,"339,78",29 days,29,92.65517241379311,35
65,0001BR,01/07/2020,31/07/2020,2854.0,"360,33",30 days,30,95.13333333333334,35
66,0001BR,01/08/2020,31/08/2020,2886.0,"364,21",30 days,30,96.2,35
